Site,Pop,Tray,Alive,Dead
4,N,1-4,96,1
4,N,5-8,109,2
4,N,9-12,73,7
4,N,13-16,113,3
4,H,1-4,104,0
4,H,5-8,108,1
4,H,9-12,96,0
4,H,13-16,97,0
4,S,1-4,100,1
4,S,5-8,109,3
4,S,9-12,114,6
4,S,13-16,98,1
3,N,1-4,11,67
3,N,5-8,17,57
3,N,9-12,11,67
3,N,13-16,8,38
3,H,1-4,2,42
3,H,5-8,20,26
3,H,9-12,22,14
3,H,13-16,13,30
3,S,1-4,19,41
3,S,5-8,12,26
3,S,9-12,4,52
3,S,13-16,19,61
2,N,1-4,109,4
2,N,5-8,116,7
2,N,9-12,102,5
2,N,13-16,120,2
2,H,1-4,93,11
2,H,5-8,115,6
2,H,9-12,94,1
2,H,13-16,108,2
2,S,1-4,89,6
2,S,5-8,104,2
2,S,9-12,103,5
2,S,13-16,106,2
1,N,1-4,104,17
1,N,5-8,110,14
1,N,9-12,108,10
1,N,13-16,111,6
1,H,1-4,92,20
1,H,5-8,106,10
1,H,9-12,104,13
1,H,13-16,109,6
1,S,1-4,103,9
1,S,5-8,103,15
1,S,9-12,89,15
1,S,13-16,101,12