Date,Pop,Tray,Drill 1 Total,Drill 2 total,No Drill 1 Total,No Drill 2 Total,Total Drill Oyster,Total No Drill Oysters
12/17/2013,N,5-8,10,11,12,6,16,12
12/17/2013,N,1-4,34,19,32,5,36,21
12/17/2013,N,9-12,23,15,36,11,27,29
12/17/2013,N,13-16,3,1,20,22,3,32
12/17/2013,S,1-4,1,1,25,5,2,18
12/17/2013,S,5-8,15,2,30,3,10,18
12/17/2013,S,9-12,5,2,40,17,5,37
12/17/2013,S,13-16,13,16,41,12,23,33
12/17/2013,H,1-4,19,6,24,16,16,28
12/17/2013,H,5-8,2,2,8,10,3,14
12/17/2013,H,9-12,1,3,5,10,4,13
12/17/2013,H,13-16,2,3,12,15,4,21
1/29/2014,N,1-4,4,6,6,0,8,3
1/29/2014,N,5-8,7,9,12,3,13,9
1/29/2014,N,9-12,4,3,15,1,5,9
1/29/2014,N,13-16,6,6,11,3,9,9
1/29/2014,S,1-4,0,1,5,3,1,6
1/29/2014,S,5-8,3,5,11,10,7,16
1/29/2014,S,9-12,2,5,16,2,6,10
1/29/2014,S,13-16,3,5,5,2,7,5
1/29/2014,H,1-4,4,4,9,1,6,6
1/29/2014,H,5-8,3,3,12,4,5,10
1/29/2014,H,9-12,2,1,3,1,2,3
1/29/2014,H,13-16,1,1,10,2,2,7